R&D Spend,Administration,Marketing Spend,State,Profit
162597.7,151377.59,443898.53,California,191792.06
134615.46,147198.87,127716.82,California,156122.51
123334.88,108679.17,304981.62,California,149759.96
100671.96,91790.61,249744.55,California,144259.4
91992.39,135495.07,252664.93,California,134307.35
78013.11,121597.55,264346.06,California,126992.93
76253.86,113867.3,298664.47,California,118474.03
64664.71,139553.16,137962.62,California,107404.34
63408.86,129219.61,46085.25,California,97427.84
46426.07,157693.92,210797.67,California,96712.8
44069.95,51283.14,197029.42,California,89949.14
38558.51,82982.09,174999.3,California,81005.76
28754.33,118546.05,172795.67,California,78239.91
23640.93,96189.63,148001.11,California,71498.49
22177.74,154806.14,28334.72,California,65200.33
0,135426.92,0,California,42559.73
0,116983.8,45173.06,California,14681.4
